Date : 2025-01-07 11:07:53
Directory : c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\Programacion
Total : 2536 files,  610187 codes, 19157 comments, 21748 blanks, all 651092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\U26_AplicacionListadoPersonas                                                                                                                                                                                       |          4 |        182 |          2 |         22 |        206 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS                                                                                                                                        |          4 |        182 |          2 |         22 |        206 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS (Files)                                                                                                                                |          1 |         40 |          1 |          2 |         43 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS\css                                                                                                                                    |          1 |         82 |          0 |         12 |         94 |
| 01JS_Curso0aExperto_udemy\JS\Ejercicios\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS\js                                                                                                                                     |          2 |         60 |          1 |          8 |         69 |
| 01JS_Curso0aExperto_udemy\JS\Unidades                                                                                                                                                                                                                       |        131 |      2,759 |        329 |        525 |      3,613 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U11_objetos                                                                                                                                                                                                           |         15 |        239 |         13 |         66 |        318 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U12_clases                                                                                                                                                                                                            |          9 |        228 |         13 |         24 |        265 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U13_static                                                                                                                                                                                                            |          5 |        307 |         28 |         44 |        379 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U14_herencia                                                                                                                                                                                                          |          4 |        158 |          1 |         52 |        211 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U15_herencia_Ejer_SistemaDeVentas                                                                                                                                                                                     |          3 |        180 |          4 |         56 |        240 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U16_herencia_Ejer_proyectoMundoPC_JS                                                                                                                                                                                  |          5 |        365 |          0 |         48 |        413 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U17_modoStrict                                                                                                                                                                                                        |          1 |          9 |          0 |          3 |         12 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U18_POO                                                                                                                                                                                                               |          2 |         61 |          0 |         14 |         75 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U19_try_Catch                                                                                                                                                                                                         |          2 |         25 |          3 |          2 |         30 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U20_funcionesConFlechas_ArrowFunction                                                                                                                                                                                 |          2 |         24 |         10 |         21 |         55 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U21_funciones_callback                                                                                                                                                                                                |          3 |         43 |          4 |         16 |         63 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U22_funciones_promesas_Async_Await                                                                                                                                                                                    |          5 |         85 |         27 |         29 |        141 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U23_DOM_manejoDelDom                                                                                                                                                                                                  |          9 |        188 |          0 |          7 |        195 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U24_DOM_HTML_Eventos                                                                                                                                                                                                  |         10 |        243 |          1 |          9 |        253 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U25_AplicacionCalculadora                                                                                                                                                                                             |          2 |         42 |          0 |          1 |         43 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U25_AplicacionCalculadora\18-02-AplicacionCalculadora-ConfiguracionInicial-UJS                                                                                                                                        |          2 |         42 |          0 |          1 |         43 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U25_AplicacionCalculadora\18-02-AplicacionCalculadora-ConfiguracionInicial-UJS (Files)                                                                                                                                |          1 |         31 |          0 |          0 |         31 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U25_AplicacionCalculadora\18-02-AplicacionCalculadora-ConfiguracionInicial-UJS\js                                                                                                                                     |          1 |         11 |          0 |          1 |         12 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U26_AplicacionListadoPersonas                                                                                                                                                                                         |          4 |        153 |          1 |         18 |        172 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS                                                                                                                                          |          4 |        153 |          1 |         18 |        172 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS (Files)                                                                                                                                  |          1 |         32 |          1 |          3 |         36 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS\css                                                                                                                                      |          1 |         76 |          0 |         12 |         88 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U26_AplicacionListadoPersonas\19-02-ListadoPersonas-ConfiguracionInicial-UJS\js                                                                                                                                       |          2 |         45 |          0 |          3 |         48 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U3_variables                                                                                                                                                                                                          |          6 |         52 |         17 |         23 |         92 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U4_operadoresAritmeticos                                                                                                                                                                                              |          7 |         70 |         53 |         31 |        154 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U5_condicionales                                                                                                                                                                                                      |          8 |         99 |         36 |         14 |        149 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U6_bucles                                                                                                                                                                                                             |          8 |         71 |         21 |          7 |         99 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U7_arrays                                                                                                                                                                                                             |          6 |         32 |         32 |         10 |         74 |
| 01JS_Curso0aExperto_udemy\JS\Unidades\U9yU10_funciones_procedimientos                                                                                                                                                                                       |         15 |         85 |         65 |         30 |        180 |
| 02JS_Curso_De0aExperto18dias                                                                                                                                                                                                                                |        404 |     96,939 |      2,023 |      2,386 |    101,348 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto                                                                                                                                                                                                                  |        315 |     88,426 |        263 |      1,115 |     89,804 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 1                                                                                                                                                                                                            |         12 |        196 |          2 |          7 |        205 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 10                                                                                                                                                                                                           |          6 |        173 |          0 |         27 |        200 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 10\1 - Clases                                                                                                                                                                                                |          1 |         28 |          0 |          7 |         35 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 10\2 - Subclases                                                                                                                                                                                             |          1 |         21 |          0 |          2 |         23 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 10\3 - Getters y Setters                                                                                                                                                                                     |          1 |         27 |          0 |          4 |         31 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 10\4 - Veterinaria                                                                                                                                                                                           |          3 |         97 |          0 |         14 |        111 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 11                                                                                                                                                                                                           |         10 |        201 |          0 |         17 |        218 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 11\1 - Qué es JSON                                                                                                                                                                                           |          2 |         37 |          0 |          0 |         37 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 11\2 - Fetch                                                                                                                                                                                                 |          2 |         31 |          0 |          4 |         35 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 11\3 - Catch                                                                                                                                                                                                 |          2 |         32 |          0 |          4 |         36 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 11\Proyecto - Dia 11                                                                                                                                                                                         |          4 |        101 |          0 |          9 |        110 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12                                                                                                                                                                                                           |         17 |        295 |          3 |         71 |        369 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\1 - Eventos                                                                                                                                                                                               |          2 |         18 |          0 |         11 |         29 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\2 - Manejo de Eventos                                                                                                                                                                                     |          2 |         25 |          0 |         11 |         36 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\3 - Eventos Teclado                                                                                                                                                                                       |          2 |         22 |          0 |         10 |         32 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\4 - Eventos Raton                                                                                                                                                                                         |          2 |         25 |          0 |          6 |         31 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\5 - Eventos en Tiempo Real                                                                                                                                                                                |          2 |         31 |          0 |          6 |         37 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\6 - Eventos Personalizados                                                                                                                                                                                |          2 |         29 |          0 |          6 |         35 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 12\7 - Proyecto Dia 12                                                                                                                                                                                       |          5 |        145 |          3 |         21 |        169 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13                                                                                                                                                                                                           |          8 |        253 |          3 |         36 |        292 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13\1 - Ejemplos                                                                                                                                                                                              |          1 |         19 |          0 |          2 |         21 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13\2 - Callbacks                                                                                                                                                                                             |          1 |         21 |          0 |          2 |         23 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13\3 - Promesas                                                                                                                                                                                              |          1 |         30 |          0 |          1 |         31 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13\4 - Async - Await                                                                                                                                                                                         |          1 |         20 |          0 |          4 |         24 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13\5 - Manejar Errores                                                                                                                                                                                       |          1 |         59 |          0 |          8 |         67 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 13\6 - Proyecto Día 13                                                                                                                                                                                       |          3 |        104 |          3 |         19 |        126 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14                                                                                                                                                                                                           |         64 |     64,144 |         87 |        220 |     64,451 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\1 - Proyecto React                                                                                                                                                                                        |         13 |     17,421 |         30 |         58 |     17,509 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\1 - Proyecto React\mi-app                                                                                                                                                                                 |         13 |     17,421 |         30 |         58 |     17,509 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\1 - Proyecto React\mi-app (Files)                                                                                                                                                                         |          3 |     17,284 |          0 |         35 |     17,319 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\1 - Proyecto React\mi-app\public                                                                                                                                                                          |          2 |         45 |         23 |          2 |         70 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\1 - Proyecto React\mi-app\src                                                                                                                                                                             |          8 |         92 |          7 |         21 |        120 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\2 - React - Una Pagina                                                                                                                                                                                    |         15 |     17,432 |         30 |         59 |     17,521 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\2 - React - Una Pagina\mi-app                                                                                                                                                                             |         15 |     17,432 |         30 |         59 |     17,521 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\2 - React - Una Pagina\mi-app (Files)                                                                                                                                                                     |          3 |     17,284 |          0 |         35 |     17,319 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\2 - React - Una Pagina\mi-app\public                                                                                                                                                                      |          2 |         45 |         23 |          2 |         70 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\2 - React - Una Pagina\mi-app\src                                                                                                                                                                         |         10 |        103 |          7 |         22 |        132 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular                                                                                                                                                                                      |         19 |     11,734 |          4 |         47 |     11,785 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app                                                                                                                                                                               |         19 |     11,734 |          4 |         47 |     11,785 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app (Files)                                                                                                                                                                       |          7 |     11,631 |          3 |         20 |     11,654 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app\src                                                                                                                                                                           |         12 |        103 |          1 |         27 |        131 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app\src (Files)                                                                                                                                                                   |          3 |         17 |          1 |          6 |         24 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app\src\app                                                                                                                                                                       |          9 |         86 |          0 |         21 |        107 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app\src\app (Files)                                                                                                                                                               |          5 |         53 |          0 |         11 |         64 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\3 - Proyecto Angular\mi-app\src\app\saludador                                                                                                                                                             |          4 |         33 |          0 |         10 |         43 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\4 - jQuery                                                                                                                                                                                                |          2 |         18 |          0 |          1 |         19 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\5 - Axios                                                                                                                                                                                                 |          2 |         26 |          0 |          0 |         26 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\6 - Mi Banco                                                                                                                                                                                              |          5 |        102 |          0 |          9 |        111 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\7 - Proyecto Día 14                                                                                                                                                                                       |          8 |     17,411 |         23 |         46 |     17,480 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\7 - Proyecto Día 14\mi-app                                                                                                                                                                                |          8 |     17,411 |         23 |         46 |     17,480 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\7 - Proyecto Día 14\mi-app (Files)                                                                                                                                                                        |          3 |     17,312 |          0 |         35 |     17,347 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\7 - Proyecto Día 14\mi-app\public                                                                                                                                                                         |          2 |         45 |         23 |          2 |         70 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 14\7 - Proyecto Día 14\mi-app\src                                                                                                                                                                            |          3 |         54 |          0 |          9 |         63 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15                                                                                                                                                                                                           |         12 |        453 |         32 |         51 |        536 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15\1 - POST                                                                                                                                                                                                  |          2 |         32 |          0 |          5 |         37 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15\2 - Otras Solicitudes                                                                                                                                                                                     |          2 |         22 |         21 |          2 |         45 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15\3 - Fetch Avanzado                                                                                                                                                                                        |          2 |         32 |          0 |          2 |         34 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15\4 - Axios en Detalle                                                                                                                                                                                      |          2 |         39 |          2 |         10 |         51 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15\5 - OAuth                                                                                                                                                                                                 |          1 |         26 |          1 |          4 |         31 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 15\6 - Proyecto del Día                                                                                                                                                                                      |          3 |        302 |          8 |         28 |        338 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 16                                                                                                                                                                                                           |         14 |      4,147 |         44 |         53 |      4,244 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 16\1 - BD_Relacional                                                                                                                                                                                         |          3 |        739 |         11 |         13 |        763 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 16\2 - BD_NoRelacional                                                                                                                                                                                       |          3 |        809 |         11 |         16 |        836 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 16\3 - API                                                                                                                                                                                                   |          4 |        809 |         10 |         10 |        829 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 16\4 - Proyecto del Dia                                                                                                                                                                                      |          4 |      1,790 |         12 |         14 |      1,816 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17                                                                                                                                                                                                           |         49 |     13,239 |         14 |        134 |     13,387 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\1 - Loguin                                                                                                                                                                                                |          3 |         75 |          1 |          5 |         81 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\2 - API                                                                                                                                                                                                   |          4 |      1,808 |          0 |          8 |      1,816 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\3 - Proteger Datos                                                                                                                                                                                        |          2 |         40 |          0 |          1 |         41 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\4 - API                                                                                                                                                                                                   |          5 |      3,256 |          0 |         18 |      3,274 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\5 - Sitio                                                                                                                                                                                                 |          5 |        104 |          0 |          2 |        106 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\6 - API                                                                                                                                                                                                   |          5 |      2,087 |          4 |         16 |      2,107 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\7 - Proyecto 17                                                                                                                                                                                           |         12 |      2,091 |          0 |         35 |      2,126 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\7 - Proyecto 17\API                                                                                                                                                                                       |          4 |      1,827 |          0 |         10 |      1,837 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\7 - Proyecto 17\SitioWeb                                                                                                                                                                                  |          8 |        264 |          0 |         25 |        289 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\7 - Proyecto 17\SitioWeb\pages                                                                                                                                                                            |          4 |         76 |          0 |          0 |         76 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\7 - Proyecto 17\SitioWeb\scripts                                                                                                                                                                          |          2 |        101 |          0 |         12 |        113 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\7 - Proyecto 17\SitioWeb\styles                                                                                                                                                                           |          2 |         87 |          0 |         13 |        100 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\8 - Solucion Proyecto 17                                                                                                                                                                                  |         13 |      3,778 |          9 |         49 |      3,836 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\8 - Solucion Proyecto 17\API                                                                                                                                                                              |          5 |      3,477 |          9 |         23 |      3,509 |
| 02JS_Curso_De0aExperto18dias\CursoCompleto\Día 17\8 - Solucion Proyecto 17\SitioWeb                                                                                                                                                                         |          8 |        301 |          0 |         26 |        327 |
